ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched
j7l9s7o6oe,1779880370642,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同時入場後にお渡し,m,5.0,,,2026-05-27 11:12:50,2026-06-29 12:01:33,2026-06-24 10:01:12,sold,1,26000,"【チケットについて】
FC初期当選/有効期限内/同一クレカ支払いなし
上記に該当するQRを複数所持しております。
【集合について】
公演当日、開場時刻の40分前頃を目安にご集合をお願いいたします。
【入場～お席決定までの流れ】
複数名義での当選となるため、入場後に座席確認を行います。
入場後は一度解散させていただき、お譲りするお席が決まり次第、メッセージまたはお電話にてご連絡いたします。
ご連絡までの間は、会場内でご自由にお過ごしください。
お座席確認にお時間をいただく場合がございますがご了承のほどお願いいたします。
【返金・キャンセルについて】
公演中止の場合は、必ず返金対応いたします。
恐れ入りますが、遅刻、発熱、出演者の変更、公共交通機関の遅延、入場時のエラー、本人確認、ご購入日時の誤認、その他いかなる理由でも返金・キャンセル・送金停止はお受けできません。
遅刻やご購入日時の誤認など、ご購入者様都合で集合場所にいらっしゃらなかった場合でも、受け取り連絡はお願いしておりますのでご了承ください。
【連絡先について】
当日の電波不良に備え、必ず連絡の取れるお電話番号をお伺いしております。
ご購入後は、こちらからの連絡をお待ちいただく前に、連絡ボードへ以下をお送りください。
1.集合時の呼び名（仮名可）
2.お電話番号
【最後に】
最後まで安心してお取引いただけるよう、丁寧な対応を心がけてまいります。
お手数ですが内容をご確認のうえ、お手続きをお願いいたします。
※ご落札後は、上記内容すべてにご了承いただいたものとしてお取引を進めさせていただきます。",True
l4f6rarxra,1781930308183,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,2名義中2番手,3️⃣,5.0,,番手,2026-06-20 04:38:28,2026-06-29 12:01:33,,listing,2,59000,"どちらもFC初期当選/有効期限内/下三桁開示可/サイチェン可
・大幅な遅刻はお待ちできません
・座席クレームお受けできません
・席での録音盗撮行為等 禁止
・いかなる場合でも買手都合のキャンセル不可(間違えた、行けなくなった、体調不良等)
・本人確認やランダムエラー等で入場出来なかった場合でも受け取り評価していただきますのでご理解頂ける方
上記全て了承頂ける日本語に不自由のない女性のみ、スムーズに連絡が取れるようご協力頂ける方でお願い致します。",True
sold_1781943062549,1781943062549,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,pickup_number,female,入金後すぐ払込票番号共有,,,,,2026-06-20 08:11:02,2026-06-29 12:01:33,2026-06-20 16:01:09,sold,2,14000,"注釈付き指定 2名券
別途セブンイレブンにてチケット代金のお支払いが必要です。
発券手続きが終わり次第受取通知をお願いします。
ご購入後のキャンセルや返金はお受...",False
sold_1769861896183,1769861896183,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,公演日2日前にQRコード共有,,,,,2026-01-31 12:18:16,2026-06-29 12:01:33,2026-06-20 16:01:09,sold,2,30000,中止の際は返金致します。,False
9coerzjffm,1781954653958,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,ねこ,5.0,,同行,2026-06-20 11:24:13,2026-06-29 12:01:33,2026-06-22 08:01:11,sold,2,10200,"2名義中2番手 / すり替えなし / 全てFC初期当選 / 有効期限内 / 入金後全下3桁提示可能 / 座席未定 / 着ブロ指定なし
公演当日、 会場時間前後に会場付近にて待ち合わせし、同時入場していただきます。
詳しい待ち合わせ時間・場所等は、公演日近くになりましたらLINEでお知らせします。
必ず時間厳守でお願いいたします。
同時入場していただきます。
当方が選ばなかったチケットを2枚連番でお渡しさせていただきます。
その際に4.0×2枚分から今回チケテンで払った金額の差額分とチケットを交換させていただきます。
すり替えなしで開演前までにチケットをお渡ししますが、座席確認に少々お時間をいただく可能性がございますのでご了承くださいませ。
※必ず時間厳守でお願いいたします。複数人が集まるため遅刻された場合はお待ちすることなく入場させていただく可能性がございます。
その際でも必ず受取確認をしていただきます。
交通機関の乱れや体調不良等いかなる理由であっても受取確認を必ずしていただきます。
お時間に余裕を持ってお越しくださいませ。
※公演中止の際はシステムにより自動で全額返金されます。
その他体調不良やランダムエラー、本人確認等の公演中止以外のいかなる理由であっても返金致しかねます。
※ 座席に関してのクレームは一切お受け出来ません。チケットお渡し時には速やかに受取連絡の方していただきますようお願いいたします。
※トラブル回避の為代理購入はご遠慮下さい。
上記全てご理解いただいた上で、日本語の通じる20才以上の女性のみご購入下さい。",True
sold_1776864608989,1776864608989,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,,,,,2026-04-22 13:30:08,2026-06-29 12:01:33,2026-06-20 16:01:09,sold,1,53000,"初期当選、当選歴なし
2連番中、当方が選ばなかった方のチケットをお譲り致します。 
サイチェン可
下3桁提示可能

公演15分前集合を予定しております。大幅な遅...",False
ivhgnzmkum,1778159593477,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,すり替えなし同行,LII,5.0,,同行記載あり,2026-05-07 13:13:13,2026-06-29 12:01:33,,listing,1,68000,"FC初期当選/有効期限内/すり替えなし/着ブロ希望なし/同行者登録、本確対応可能
プライベート出品に変更しますので、事前にコメントをお願いいたします。担当、年齢明記ください。
当方と同行になります。⚠︎末澤担不可です。
集合場所等の詳細は公演前日にご連絡致します。
座席に関するクレームは一切受け付けません。
体調不良、遅刻、出演者の変更等いかなる場合でも受け取り連絡をしていただきます。
入場後にその場で受け取り評価をお願いいたします。
公演中止の場合のみ、手数料を引いた金額を返金させていただきます。
集合は開場後、開演40分前ごろを予定しております。ランダムではないので入場後は自由にお過ごしください。
サイチェン可能ですが、名義を傷つける行為はお控えください。サイチェン時も末澤担への渡しは禁止とさせていただきます。
上記内容全てにご同意いただけた成人の日本人女性のみ購入をお願いいたします。",True
vuy8qpg9l6,1781264119952,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,あ,5.0,,同行ランダム,2026-06-12 11:35:19,2026-06-29 12:01:33,,listing,1,26999,"少人数ランダム配布
当選済みチケット所持しております。
開場20分前に集合を予定しておりますが、前後する場合がございます。
集合時間1時間前までに、服装、電話番号のご掲示をお願い致します。
集合場所にてこちらからお声がけさせて頂きます。
集合時にQRコード表示に必要な情報を提示いたします。
チケット持ち逃げ防止のため、身分証を一時お預かりいたします。
入場後、チケットとの引き換えで返却いたします。
購入者様の端末にてQRコードを開いて頂き、入場後に全てのチケットを回収いたします。
座席選択はその場でお願いし、スムーズな配布にご協力ください。
全チケット回収後、ランダムにてお渡し致します。
入場準備やお渡しまでにお時間を頂く場合がございますが、柔軟にご対応いただける方でお願いいたします。
開演には必ず間に合うようにチケットをお渡しいたします。
複数名義所持のため、全組が一緒の集合・入場になるとは限りません。
2枚での落札でもバラバラのお席になる可能性もございます。
全てのチケットを開示することや事前に手持ちのチケットの会員番号をお伝えすることはございません。
その他、所持している全名義数等、取引詳細について明記している内容以外につきましては回答致しかねます。
当日の流れでわからない点に関しては、遠慮なくご質問ください。
指定時間より10分以上遅れた場合、先に入場いたします。
その際も【受取通知】は必ずお願いいたします。
受取通知はチケットをお渡ししたタイミングでお願いいたします。
本人確認対応はいたしません。
QRコードのエラー（ランダムエラー・その他不具合）や本人確認など、入場時のトラブルには一切責任を負いかねます。この場合で入場出来なくても受け取り通知はしていただきます事をご了承の上ご購入お願いいたします。
万が一入場不可の場合も返金は致しかねます。その際に別途チケットをご購入される場合は買い手様のご判断となりご自由ですが、当方とは無関係のお取引になりますので、ご了承の上でご購入ください。
また購入者様の都合（交通遅延等含む）でのキャンセルはいかなる場合も返金不可になりますので、この場合も受け取り通知していただきます事をご了承の上でご購入ください。
取引方法に記載のない条件・対応はお受けできませんので、予めご了承ください。",True
sold_1770861253458,1770861253458,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,公演前日にログイン情報共有,,,,,2026-02-12 01:54:13,2026-06-29 12:01:33,2026-06-20 16:01:09,sold,2,45555,"QR毎/初期当選/すり替えなし/有効期限切れ/女性名義/下3桁提示可

※4/30有効期限切れ名義

公演前日にログイン情報をお伝えしますので公演当日はご自身で...",False
sold_1777768168018,1777768168018,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,少人数ランダム配布,,,,,2026-05-03 00:29:28,2026-06-29 12:01:33,2026-06-20 16:01:09,sold,2,26999,"少人数ランダム配布

当選済みチケット所持しております。
開場20分前に集合を予定しておりますが、前後する場合がございます。

集合時間1時間前までに、服装、電...",False
