ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched
sold_1780732481129,1780732481129,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,none,同行,,,,,2026-06-06 07:54:41,2026-06-21 20:01:03,2026-06-20 16:01:09,sold,1,1500,"お取引に慣れていない方でも最後まで対応させていただきますのでご安心ください。
・複数名義所持のランダム配布です。ご購入者様は座席の選択は出来ません。
当方と同時...",False
sold_1781613294517,1781613294517,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,2名義中2番手,,,,,2026-06-16 12:34:54,2026-06-21 20:01:03,2026-06-20 16:01:09,sold,2,10500,"ランダムエラー対応可能
2名義中2番手/すり替えなし/下3桁提示可/有効期限内/該当(山田)名義

公演当日、開演1時間前(16時頃)に会場付近で待ち合わせをし...",False
jy3pjxsis0,1781494269242,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,同行　2名義中2番手,りん,5.0,,ランダム記載あり,2026-06-15 03:31:09,2026-06-21 20:01:03,,listing,2,11000,"2名義中2番手/前回スタンド/下3桁提示可/有効期限内
公演日は開演1時間半前を目安に会場付近にて待ち合わせし、同時入場していただきます。
入場後は一旦チケットを回収し一度解散いたします。実際の座席を確認し、こちらが選択後チケットをお渡しいたします。
座席選択にお時間をいただく場合がございます。ご了承ください。
チケットお渡しと同時にその場で受け取り連絡をお願いいたします。お席に関するクレームは一切受け付けておりません。
当日はQRコードが表示できる端末をお持ちください。
待ち合わせ時間に遅刻された場合は、到着を待たず先に入場させていただきます。ランダムエラー、出演者変更、体調不良、交通機関の乱れを含む遅刻、本人確認等の理由で入場が出来なかった場合も必ず受け取り連絡をお願いいたします。公演中止の場合のみ手数料を差し引いた金額を返金いたします。
日本語が通じる日本人女性で当日入場されるご本人様のみ購入をお願い致します。代理購入や複数名義所持している方の購入はご遠慮ください。
購入後に当日連絡が取れる電話番号をお願いいたします。",True
0u57ejfadn,1781421437618,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,同時入場ランダム配布,e,5.0,,ランダム同行,2026-06-14 07:17:17,2026-06-20 23:01:06,,deleted,1,600,"ランダム配布となるため同時入場後1度回収させていただき、こちらが選び終えてからのお渡しとなります。
ご購入後はこちらからの連絡を待たずにお名前（偽名可）とお電話番号のご連絡お願いいたします。
お電話番号は当日集合時におかけする可能性ございますので当日繋がるものでお願いいたします。
『集合入場について』
当日は開場30分前頃を目安に会場付近にて待ち合わせいたします。詳しい時間は公演日が近づき次第ご連絡いたします。
※必ず時間厳守でお願いいたします。
当日連絡が取れない、遅刻された場合は到着を待たずに入場します。
なおこの場合でも受け取り評価はしていただきます。
その他体調不良、ランダムエラー、本人確認等で入場できなかった場合による返金対応はいたしかねますので、ご了承ください。
買い手都合のキャンセルも必ず受け取り評価していただきます。
公演中止の場合のみ手数料を差し引いた金額を返金いたします。
『入場後について』
実際に座席を確認しに行くため、一度解散いたします。遅くとも開演5~10分前にはお渡しいたしますが、座席選択に時間を要することをご了承ください。
またご購入者様が座席を選択することはできません。
座席に関するクレームも一切受け付けません。
チケットお渡しと同時に受け取り評価をお願いいたします。
『注意事項』
2連でのご購入の場合、入場の際お連れ様と別れて入場していただきますが、チケットは必ず2連でお渡しいたします。
同行者登録はこちらで行います。公演日が近づき次第、氏名等伺いますのでご協力お願いいたします。
トラブル防止のため会員情報、名義数などの情報は一切お答えいたしません。
スーツケース等大きな荷物は持って入らず、預けてから集合お願いいたします。
日本語でのコミュニケーションが円滑に取れる方のみご購入ください。
小さなお子様をお連れの方や代理購入はお控えください。
お取引成立後は上記説明事項に同意していただいたとみなし、ご購入様からの条件のご提示はお受けできません。
ご不明な点ございましたら、気軽にご質問ください。",True
re7wjni06t,1781765742139,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,none,同行,ちー,5.0,,番手,2026-06-18 06:55:42,2026-06-21 20:01:03,,listing,2,9000,"5名義中5番手/全て初期当選/すり替えなし/下3桁提示可/有効期限内/該当名義
当日は開場時間頃に集合し、同時入場する予定です。
集合場所などの詳細は前日までに連絡ボードにてお知らせいたします。
入場の際にQRコード表示のため端末をお借りする場合がございます。
座席に関するクレームはお受けいたしません。
着ブロはございません。
ゲートによってはQRでのお譲りになる場合がございます。
遅刻された場合は先に入場しますがその場合でも受け取り通知はしていただきます。
お時間に余裕を持ってお越しください。
遅延や体調不良などの買い手様都合、出演者変更、本人確認、ランダムエラーなど
公演中止以外のキャンセルや返金はいたしません。
代理購入はお控えください。
日本語が理解できる日本人女性のみご購入ください。",True
n1e7suc1ek,1778603870403,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,当日手渡し,な,5.0,,,2026-05-12 16:37:50,2026-06-21 20:01:03,,listing,2,11000,"4名義中4番手/すり替えなし/下3桁提示可能/初期当選/有効期限内
QR発券まで座席未定となります。
同時入場後、座席確認次第お渡しします。
集合は開場時間の15分前ぐらいを予定しています。
体調不良、検温、交通機関による遅延等、出演者変更に伴うキャンセル、お取引成立後の買い手様の都合によるキャンセル、お席に関するクレームなど、公演中止以外での返金対応は致しかねますので、ご了承ください。
お日にちが近くなりましたら、こちらからご連絡させて頂きます。
日本人の方、女性、義務教育卒業後の方のみ購入可能です。",True
pqayek6jw8,1778590642341,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,ランダム配布,り,5.0,,ランダム記載あり,2026-05-12 12:57:22,2026-06-21 20:01:03,,listing,2,2200,"・複数名義所持している為、同時入場後、チケットを一度回収し再度集合の上チケットをお渡しいたします。
・座席選択にお時間がかかる場合がございますが、開演時間15分前までにはチケットをお渡しいたします。
・入場の際に端末のご協力をお願いする場合がございます。
その際一時的に身分証をお預かりする場合がございます。入場後チケットと交換で返却いたします。
・チケットお渡し時に受取評価をお願いいたします。
お渡し前の座席の開示やお渡し後のクレームは一切お受けできません。ご了承ください。
・同時入場の為時間は必ず厳守でお願い致します。集合時間に遅れた場合先に入場しますが、受け取り評価は必ずして頂きます。
・本人確認やランダムエラー、体調不良や交通機関の乱れによる遅刻などその他買い手様都合で入場出来なかった場合でもキャンセルや返金は一切いたしかねます。
・公演中止の場合のみ手数料を差し引いた金額を返金します。
・代理購入はお控えください。
・成人済み、日本語の通じる方のみご購入ください。
以上をご確認の上、ご購入をお願いいたします。",True
sold_1780727683040,1780727683040,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,pickup_number,female,入金後即払込票番号共有,,,,,2026-06-06 06:34:43,2026-06-21 20:01:03,2026-06-20 16:01:09,sold,2,2000,"一般指定2名券
6/7(日)23:30までにセブンイレブンにて定価プラス手数料のお支払いが必要です。",False
bu1z3njrus,1778219603151,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,none,同行,c,5.0,,番手,2026-05-08 05:53:23,2026-06-21 20:01:03,,listing,2,12300,"初期当選/すり替えなし/下3桁/4名義中3番手/有効期限内／ペイジー/山田名義のみ
☆購入の方はプラベ出品にしますのでコメントお願いします。
【以下、必ずお読みください】
開場時間頃に会場付近で待ち合わせをし、同時入場していただきます。
待ち合わせの詳細については購入頂いた後に連絡ボードにてご連絡致します。
同時入場後一度チケットを回収し、こちらが先に座席を選んだ後、
4名義中3番手でお選びいただきます。
すり替え等は致しません。
連番で購入の方は、必ず連番でお選びいただきます。
お席に関するクレームはお受け致しません。
着ブロ指定ではございません。
ゲート不明のためビスタ席の可能性もございます。
遅刻された場合は待たずに先に入場しますが
その場合でも受け取り通知はして頂きますのでお時間に余裕を持ってお越しください。
遅延など購入者の都合、出演者変更、本人確認、ランダムエラーなど公演中止以外の如何なる場合も返金は致しません。
当日端末をお借りする場合がございます。
代理購入不可
日本語のわかる日本人女性のみ",True
sold_1780906435526,1780906435526,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,公演日前日にQRコード共有,,,,,2026-06-08 08:13:55,2026-06-21 20:01:03,2026-06-20 16:01:09,sold,2,20000,"FC初期当選/QR毎/下3桁提示可能/重複すり替え無し/有効期限内/着ブロ無し
公演日前日にログイン情報を共有します。

同行者登録のURL購入後送付可能。
直...",False
qdj2d5lr4e,1781357544636,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,入金後24時間以内にQRコード共有,MT,5.0,,QR,2026-06-13 13:32:24,2026-06-21 20:01:03,,listing,2,27000,"プラベル変更可能です。
QRごと/初期当選/着ブロ希望なし/Pay-easy決済済み/有効期限内/会員番号下3桁掲示可
・公演前日にQRコード表示に必要なパスワードと会員番号をお伝え致しますので、ご自身でQRコードを提示してご入場ください。
・同行者登録・当日の来場に際しての確認事項の同意チェックはご自身で宜しくお願いいたします。
その際の登録ミスによる責任は一切負えませんのでご了承ください。
QRコードが表示できない、または赤線エラーが出た場合でも受取連絡はしていただきます。
・2名での当選の為、必ず2名揃って入場下さい。
・本人確認対応不可。身分証、会員証の貸し出しはできません。
・撮影、録音などの違反行為をされない方。
・入場するまで座席未定ですので座席に関するクレームやキャンセルはご遠慮下さい。
・ご希望の方には下3桁お伝えできます。
・何らかの事情（ご本人確認やランダムエラーなど）で入場または観覧できなかった場合は、返金できませんが、公演の中止、延期の場合は、手数料を引いた金額を返金いたします。",True
