ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched
58nuco3wcv,1781528540725,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,た,5.0,,番手,2026-06-15 13:02:20,2026-06-23 10:01:18,,deleted,2,7000,"3名義中3番手、全て該当名義、有効期限内、初期当選、すり替えなし、購入後下3桁提示可
当日会場付近にて集合し同時入場いたします。
詳しい時間、場所等は購入後当日までにご連絡いたします。
入場後チケットを1度回収させていただきます。
当方と2番手の方が座席選択をした後にお渡しいたします。座席選択権はありません。
チケットをお渡ししましたら速やかに受取通知をお願いします。
チケットのお渡しを速やかに行うために、事前に電話番号の交換をお願いしております。
また入場時に顔付き身分証を一時的にお預かりをする場合がございます。
チケットお渡し時に速やかにお返しいたしますのでお願いする際はご提示お願いいたします。
座席のクレーム受け付けません。
本人確認、ランダムエラー、体調不良等、買い手様の自己都合含め、いかなる場合も公演中止以外での返金は致しかねますのでご了承ください。
待ち合わせの時間は厳守でお願い致します。
ご購入者様が遅刻した際は先に入場させていただく場合がございます。
その際も受取連絡はして頂きますので、お時間に余裕を持ってお越しください。
以上をご理解いただける日本人女性の方のみご購入いただきますようお願いいたします",True
sold_1780035266691,1780035266691,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,,,,,2026-05-29 06:14:26,2026-06-30 10:01:36,2026-06-20 16:01:09,sold,1,25000,"該当（変更ボタンあり）有効期限内名義
嶺亜担不可×
⭐️公演当日は会場付近で待ち合わせをし、同時入場していただきます。
⭐️詳しい待ち合わせ時間や場所等はお取引...",False
tzji1musnh,1781700849256,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,2名義中2番手 ,m,5.0,,,2026-06-17 12:54:09,2026-06-30 10:01:36,,listing,2,10000,"16:45頃会場周辺集合。
公演中止の場合のみ手数料を引いた全額返金いたします。",True
sold_1781569186492,1781569186492,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,none,前日ログイン情報共有,,,,,2026-06-16 00:19:46,2026-06-30 10:01:36,2026-06-20 16:01:09,sold,2,13000,"初期当選/有効期限内/着ブロ指定なし/下３桁提示可/ジュニア(全員)名義/同行者登録可/過去エラーなし

・公演中止以外いかなる場合でも返金はいたしません。...",False
sold_1780119711551,1780119711551,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,,,,,2026-05-30 05:41:51,2026-06-30 10:01:36,2026-06-20 16:01:09,sold,2,11000,"3名義中2番手
初期当選/該当名義/下3桁提示可/変更ボタンあり/すり替えなし

3名義中2番手でのお譲りとなります。
入場時に端末をお借りする場合がございます...",False
j4000wa4di,1780053386190,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,にこ,5.0,,同行記載あり,2026-05-29 11:16:26,2026-06-28 05:01:26,,deleted,1,4000,"公演当日は待ち合わせ後に同時入場します。
集合時間は開演1時間30分前を予定。集合時間に10分以上遅れた場合入場保証はできません。その場合でも受け取りしていただきますのでお時間に余裕をもってお越し下さい。
複数名義から入場後こちらが先に必要な分席を選びますので、座席にこだわりのある方はご遠慮ください。
座席確認のため入場後一旦解散し、開演10分前までには再度集合しチケットをお渡し致します。チケットお渡し時に受取連絡をお願いします。
入場時チケットの表示にご協力いただく場合がございます。 お連れ様と別々で入場した場合でも連番のチケットをお渡し致します。
主催者側からの公演中止以外の返金対応は致しません。日本語がきちんと理解・話せる女性の方のみご購入ください。
代理購入は不可とさせていただきます。必ず入場する本人のみご購入ください。
同行者登録にご協力していただける方でお願いします。購入後はこちらからの連絡を待たずに、当日連絡の取れる代表者1名のお名前とお電話番号をお送りください。
本人確認、ランダムエラー、当日又は当日までの体調不良、出演者不在などによる購入後のキャンセルや、チケットお渡し後の座席に関するクレーム等での入場後の送金停止も一切対応致しませんのでご了承ください。",True
b41tvl1n0h,1780062271224,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,pickup_number,female,公演前日までにログイン情報共有,もん,5.0,,QR,2026-05-29 13:44:31,2026-06-30 10:01:36,,listing,2,20000,"QRごと/すり替え重複なし/非該当/有効期限内/下3桁提示/同行者登録可
公演前日にログイン情報お伝えします。
公演中止のみ返金します。
体調不良やランダムエラー等で入場できなかった際も受取はしていただきますのでご了承ください。",True
sold_1780192551953,1780192551953,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,,,,,2026-05-31 01:55:51,2026-06-30 10:01:36,2026-06-20 16:01:09,sold,2,620,"【ランダム配布にご理解ある方のみご購入お願い致します】
同時入場後、ランダムでチケットをお渡しさせて頂きます。
ご自身での座席選択はできかねますのでご了承くださ...",False
sold_1780116023600,1780116023600,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,,,,,2026-05-30 04:40:23,2026-06-30 10:01:36,2026-06-20 16:01:09,sold,1,14500,"該当名義/すり替えなし/有効期限内/変更ボタンあり/下3桁提示可/

公演当日は会場付近で待ち合わせをし、同時入場していただきます。
詳しい待ち合わせ時間や場所...",False
sold_1780026993222,1780026993222,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,公演日前日までにQRコード共有,,,,,2026-05-29 03:56:33,2026-06-30 10:01:36,2026-06-20 16:01:09,sold,2,20683,"初期当選 重複すり替えなし 下3桁提示可 岩崎名義 変ボあり 同行者登録可 コンビニ決済 有効期限内名義

公演日前日にログインに必要な情報を連絡ボードにてお送...",False
