year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-06,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,116,78,23,15,9144.827586206897,500,36000
2026-06,are-you-red-y,2026-06-28,15:00,京セラドーム大阪,103,75,17,11,11854.601941747573,500,52000
2026-06,are-you-red-y,2026-07-25,18:00,東京ドーム,33,24,4,5,15136.727272727272,1000,45000
2026-06,are-you-red-y,2026-07-26,18:00,東京ドーム,38,32,2,4,11660.21052631579,0,33000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-06-27,17:00,[愛知県] COMTEC PORTBASE,1,0,1,0,14000.0,14000,14000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-06-28,13:00,[愛知県] COMTEC PORTBASE,1,1,0,0,12000.0,12000,12000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-04,17:30,[岡山県] 岡山芸術創造劇場 ハレノワ 大劇場,1,1,0,0,14000.0,14000,14000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-05,14:00,[岡山県] 岡山芸術創造劇場 ハレノワ 大劇場,1,1,0,0,9000.0,9000,9000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-10,15:00,[大阪府] COOL JAPAN PARK OSAKA WWホール,1,1,0,0,12000.0,12000,12000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-25,17:45,[東京都] 有楽町よみうりホール,1,1,0,0,14500.0,14500,14500
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-26,13:45,[東京都] 有楽町よみうりホール,1,1,0,0,20000.0,20000,20000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-27,17:45,[東京都] 有楽町よみうりホール,1,1,0,0,45000.0,45000,45000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-07-30,17:45,[東京都] 有楽町よみうりホール,1,1,0,0,14800.0,14800,14800
2026-06,joseph-amazing-technicolor-dreamcoat,2026-08-04,17:45,[東京都] 有楽町よみうりホール,1,1,0,0,35000.0,35000,35000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-08-06,13:45,[東京都] 有楽町よみうりホール,1,1,0,0,18000.0,18000,18000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-08-08,13:45,[東京都] 有楽町よみうりホール,1,1,0,0,55000.0,55000,55000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-08-08,17:45,[東京都] 有楽町よみうりホール,1,1,0,0,14000.0,14000,14000
2026-06,joseph-amazing-technicolor-dreamcoat,2026-08-09,13:45,[東京都] 有楽町よみうりホール,4,3,1,0,37500.0,25000,50000
2026-06,ryosuke-yamada-asia-tour-2026-red-y,2026-09-06,,[台北] TAIPEI MUSIC CENTER,1,1,0,0,120000.0,120000,120000
2026-06,ryosuke-yamada-asia-tour-2026-red-y,2026-09-13,,[ソウル] Jangchung Arena,8,6,1,1,37500.0,15000,100000
