year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-07,akechico,2026-07-02,12:30,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),1,0,0,1,13000.0,13000,13000
2026-07,akechico,2026-07-04,12:30,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),2,0,0,2,9000.0,6500,11500
2026-07,akechico,2026-07-04,18:00,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),1,0,0,1,7500.0,7500,7500
2026-07,akechico,2026-07-05,14:00,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),4,0,0,4,15500.0,0,32000
2026-07,akechico,2026-07-06,12:30,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),1,0,0,1,5000.0,5000,5000
2026-07,akechico,2026-07-09,12:30,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),5,4,0,1,21000.0,0,55000
2026-07,akechico,2026-07-09,18:00,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),3,2,0,1,35000.0,10000,55000
2026-07,akechico,2026-07-10,14:00,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),1,0,0,1,35000.0,35000,35000
2026-07,akechico,2026-07-11,12:30,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),1,0,0,1,18000.0,18000,18000
2026-07,akechico,2026-07-11,18:00,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),6,3,0,3,25166.666666666668,7000,48000
2026-07,akechico,2026-07-12,12:30,[東京都] EX THEATER ARIAKE (東京ドリームパーク内),10,5,0,5,53140.0,14500,180000
2026-07,akechico,2026-07-24,18:00,[福岡県] キャナルシティ劇場,3,1,0,2,11333.333333333334,0,17000
2026-07,akechico,2026-07-25,12:30,[福岡県] キャナルシティ劇場,1,1,0,0,18000.0,18000,18000
2026-07,akechico,2026-07-30,12:30,[福岡県] キャナルシティ劇場,2,0,0,2,18000.0,18000,18000
