ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
sold_1774271983733,1774271983733,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,公演日前日までにQRコード共有,,,,,2026-03-23 13:19:43,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,2,22000,"2連QR毎、初期当選、該当、有効期限内、変更ボタンあり、下3桁提示可能、すり替えなし、同行者登録可能/購入後に同行者登録リンクお送りします。
ログイン情報は公演...",False,2026-03
sold_1773919798303,1773919798303,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,同行,,,,,2026-03-19 11:29:58,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,1,2000,"FC先行 ランダム配布 

11時頃待ち合わせを予定しております

ランダム配布の為買い手様の座席選択はできません、こちらでさせて頂きます。

又、デジダルチケ...",False,2026-03
sold_1773912952844,1773912952844,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,同行,,,,,2026-03-19 09:35:52,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,1,23000,"下記を必ず読んでからご購入お願い致します。
＜同行募集＞
・2連中の1枚
・浮所担購入不可
・当方との同行になります
・重複すり替えなし
・半券お渡し可
・本人...",False,2026-03
sold_1773924894268,1773924894268,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,同行,,,,,2026-03-19 12:54:54,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,1,6000,"少人数ランダム配布

・当日はこちらが指定した時間に会場付近の指定場所に集合して頂きます。前日までに詳細を連絡ボードにてお伝えします。
・交通機関の乱れや体調不...",False,2026-03
sold_1774269487622,1774269487622,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,同行,,,,,2026-03-23 12:38:07,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,2,20000,"専用

2名義中2番手2連

該当名義/初期当選/すり替えなし/有効期限内／下3桁提示可/着ブロ希望なし/変更ボタン有り

当日、こちらが指定した場所時間に集合...",False,2026-03
s35d0lvybm,1773928795379,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,当日番手にて入場,な,5.0,,番手,2026-03-19 13:59:55,2026-06-21 02:01:07,,deleted,2,25000,"2名義中2番手/該当名義/会員番号下3桁提示可/有効期限内名義/すり替えなし/着ブロ希望無/初期当選/サイチェン可
2名義中2番手、当方が選択しなかったお席をお渡しいたします。女性名義もしくは男性名義となります。体調不良、遅刻、出演者変更、入場時のエラーや本確等如何なる場合もキャンセル返金は対応いたしません。必ず受取連絡をお願いいたします。公演中止の場合のみ手数料を差し引いた金額を返金いたします。取引成立後のキャンセルは不可となります。",True,2026-03
sold_1774009247362,1774009247362,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,公演日1日前までにQRコード共有,,,,,2026-03-20 12:20:47,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,2,27000,"該当名義/変更ボタンあり/初期当選/有効期限内/すり替えなし/事前に下3桁提示可能。

前日にログイン情報をお伝えしますので、ご自身の端末でサイトにログインし、...",False,2026-03
sold_1773968631676,1773968631676,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,同行,,,,,2026-03-20 01:03:51,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,1,5000,"此方が指定した集合場所にお集まり頂き、同時入場して頂きます。入場後一度解散し開演5分前迄に目安にチケットをお渡しします。

買い手様のご都合や、当日の買い手様の...",False,2026-03
dsdm7kj87b,1774417547089,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,同行,Yumami,5.0,,同行番手,2026-03-25 05:45:47,2026-06-21 02:01:07,,deleted,2,0,"FC初期当選のみ 【3名義中3番手】【すり替えなし】【下3桁開示可能】【全て該当名義】着ブロ指定なし、指定席、有効期限内
入金後、下3桁提示可能。
すり替えなしの3名義中3番手のお渡し。
当方、2番手の方が座席選択後にチケットをお渡しします。
座席選択不可。
作間、浮所名義。
入場者本人がご購入お願い致します。
当日、会場付近にて開場時間前に待ち合わせ。（15分前程度予定）
場所や時間は連絡ボードにてご連絡致します。
時間に余裕がある方のみご購入お願い致します。
待ち合わせ時間に少しでも遅れた場合は如何なる場合もお待ち致しません。
その場合も必ず公演前までに受取通知をして頂きます。
チケットをお渡しと同時に受取通知をして頂きます。
本人確認、ランダムエラー、体調不良、交通機関の乱れ等、公演中止以外のいかなる理由があっても、キャンセル、返金、送金停止は対応不可。
公演中止の場合は、仲介手数料を除いた金額をご返金いたします。
送金停止は如何なる場合でも対応不可です。",True,2026-03
sold_1774195179636,1774195179636,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,electronic,female,公演前日にログイン情報お伝えします。,,,,,2026-03-22 15:59:39,2026-06-23 14:01:21,2026-06-20 16:01:09,sold,2,23000,"情報局先行/QR毎/すり替えなし/該当名義/変ボあり/有効期限内/同行者登録可能/下3桁提示可能
ランダムエラー、本人確認等公演中止以外の返金はいたしません。",False,2026-03
