ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
sold_1780732481129,1780732481129,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,none,同行,,,,2026-06-06 07:54:41,2026-06-20 09:27:28,2026-06-20 04:50:53,sold,1,1500,"お取引に慣れていない方でも最後まで対応させていただきますのでご安心ください。
・複数名義所持のランダム配布です。ご購入者様は座席の選択は出来ません。
当方と同時...",False,2026-06
sold_1781613294517,1781613294517,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,2名義中2番手,,,,2026-06-16 12:34:54,2026-06-20 09:27:28,2026-06-20 04:50:53,sold,2,10500,"ランダムエラー対応可能
2名義中2番手/すり替えなし/下3桁提示可/有効期限内/該当(山田)名義

公演当日、開演1時間前(16時頃)に会場付近で待ち合わせをし...",False,2026-06
jy3pjxsis0,1781494269242,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,同行　2名義中2番手,りん,5.0,番手記載あり,2026-06-15 03:31:09,2026-06-20 09:27:28,,listing,2,11000,"2名義中2番手/前回スタンド/下3桁提示可/有効期限内
公演日は開演1時間半前を目安に会場付近にて待ち合わせし、同時入場していただきます。
入場後は一旦チケットを回収し一度解散いたします。実際の座席を確認し、こちらが選択後チケットをお渡しいたします。
座席選択にお時間をいただく場合がございます。ご了承ください。
チケットお渡しと同時にその場で受け取り連絡をお願いいたします。お席に関するクレームは一切受け付けておりません。
当日はQRコードが表示できる端末をお持ちください。
待ち合わせ時間に遅刻された場合は、到着を待たず先に入場させていただきます。ランダムエラー、出演者変更、体調不良、交通機関の乱れを含む遅刻、本人確認等の理由で入場が出来なかった場合も必ず受け取り連絡をお願いいたします。公演中止の場合のみ手数料を差し引いた金額を返金いたします。
日本語が通じる日本人女性で当日入場されるご本人様のみ購入をお願い致します。代理購入や複数名義所持している方の購入はご遠慮ください。
購入後に当日連絡が取れる電話番号をお願いいたします。",True,2026-06
0u57ejfadn,1781421437618,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,同時入場ランダム配布,e,5.0,ランダム同行,2026-06-14 07:17:17,2026-06-20 09:27:28,,listing,1,600,"ランダム配布となるため同時入場後1度回収させていただき、こちらが選び終えてからのお渡しとなります。
ご購入後はこちらからの連絡を待たずにお名前（偽名可）とお電話番号のご連絡お願いいたします。
お電話番号は当日集合時におかけする可能性ございますので当日繋がるものでお願いいたします。
『集合入場について』
当日は開場30分前頃を目安に会場付近にて待ち合わせいたします。詳しい時間は公演日が近づき次第ご連絡いたします。
※必ず時間厳守でお願いいたします。
当日連絡が取れない、遅刻された場合は到着を待たずに入場します。
なおこの場合でも受け取り評価はしていただきます。
その他体調不良、ランダムエラー、本人確認等で入場できなかった場合による返金対応はいたしかねますので、ご了承ください。
買い手都合のキャンセルも必ず受け取り評価していただきます。
公演中止の場合のみ手数料を差し引いた金額を返金いたします。
『入場後について』
実際に座席を確認しに行くため、一度解散いたします。遅くとも開演5~10分前にはお渡しいたしますが、座席選択に時間を要することをご了承ください。
またご購入者様が座席を選択することはできません。
座席に関するクレームも一切受け付けません。
チケットお渡しと同時に受け取り評価をお願いいたします。
『注意事項』
2連でのご購入の場合、入場の際お連れ様と別れて入場していただきますが、チケットは必ず2連でお渡しいたします。
同行者登録はこちらで行います。公演日が近づき次第、氏名等伺いますのでご協力お願いいたします。
トラブル防止のため会員情報、名義数などの情報は一切お答えいたしません。
スーツケース等大きな荷物は持って入らず、預けてから集合お願いいたします。
日本語でのコミュニケーションが円滑に取れる方のみご購入ください。
小さなお子様をお連れの方や代理購入はお控えください。
お取引成立後は上記説明事項に同意していただいたとみなし、ご購入様からの条件のご提示はお受けできません。
ご不明な点ございましたら、気軽にご質問ください。",True,2026-06
re7wjni06t,1781765742139,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,none,同行,ちー,5.0,番手,2026-06-18 06:55:42,2026-06-20 09:27:28,,listing,2,9000,"5名義中5番手/全て初期当選/すり替えなし/下3桁提示可/有効期限内/該当名義
当日は開場時間頃に集合し、同時入場する予定です。
集合場所などの詳細は前日までに連絡ボードにてお知らせいたします。
入場の際にQRコード表示のため端末をお借りする場合がございます。
座席に関するクレームはお受けいたしません。
着ブロはございません。
ゲートによってはQRでのお譲りになる場合がございます。
遅刻された場合は先に入場しますがその場合でも受け取り通知はしていただきます。
お時間に余裕を持ってお越しください。
遅延や体調不良などの買い手様都合、出演者変更、本人確認、ランダムエラーなど
公演中止以外のキャンセルや返金はいたしません。
代理購入はお控えください。
日本語が理解できる日本人女性のみご購入ください。",True,2026-06
sold_1780727683040,1780727683040,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,pickup_number,female,入金後即払込票番号共有,,,,2026-06-06 06:34:43,2026-06-20 09:27:28,2026-06-20 04:50:53,sold,2,2000,"一般指定2名券
6/7(日)23:30までにセブンイレブンにて定価プラス手数料のお支払いが必要です。",False,2026-06
sold_1780906435526,1780906435526,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,公演日前日にQRコード共有,,,,2026-06-08 08:13:55,2026-06-20 09:27:28,2026-06-20 04:50:53,sold,2,20000,"FC初期当選/QR毎/下3桁提示可能/重複すり替え無し/有効期限内/着ブロ無し
公演日前日にログイン情報を共有します。

同行者登録のURL購入後送付可能。
直...",False,2026-06
qdj2d5lr4e,1781357544636,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,入金後24時間以内にQRコード共有,MT,5.0,QR,2026-06-13 13:32:24,2026-06-20 09:27:28,,listing,2,27000,"プラベル変更可能です。
QRごと/初期当選/着ブロ希望なし/Pay-easy決済済み/有効期限内/会員番号下3桁掲示可
・公演前日にQRコード表示に必要なパスワードと会員番号をお伝え致しますので、ご自身でQRコードを提示してご入場ください。
・同行者登録・当日の来場に際しての確認事項の同意チェックはご自身で宜しくお願いいたします。
その際の登録ミスによる責任は一切負えませんのでご了承ください。
QRコードが表示できない、または赤線エラーが出た場合でも受取連絡はしていただきます。
・2名での当選の為、必ず2名揃って入場下さい。
・本人確認対応不可。身分証、会員証の貸し出しはできません。
・撮影、録音などの違反行為をされない方。
・入場するまで座席未定ですので座席に関するクレームやキャンセルはご遠慮下さい。
・ご希望の方には下3桁お伝えできます。
・何らかの事情（ご本人確認やランダムエラーなど）で入場または観覧できなかった場合は、返金できませんが、公演の中止、延期の場合は、手数料を引いた金額を返金いたします。",True,2026-06
mebd2wcu3a,1781614608511,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,同行,ぽ,5.0,ランダム,2026-06-16 12:56:48,2026-06-20 09:27:28,,listing,2,1500,"FC先行 座席未定／有効期限内名義／コンビニ Pay-easy支払い／クレジットカード決済一切なし
・少数名義のランダム配布
・重複当選の為、同時入場後一旦チケットを回収させて頂き、こちらで座席選択後にランダムでお渡し致します。座席によっては、実際に席を確認してからお渡しさせて頂きます。その為お渡しまでお時間を頂きますので、ご了承ください。どのようなお席でもクレームは一切受け付けません。
・公演当日は開場30分前(前後する可能性あり)に会場付近にお集まり頂き同時入場していただきます。集合できる方のみご購入お願い致します。遅刻厳禁です。詳しい集合場所や時間は追ってご連絡致します。遅刻する場合は、待たずに入場する可能性がございますので、ご注意ください。
・入場の際には、買い手様の端末をお借りする可能性がございます。QRコードを表示できる端末をお持ちください。ご了承ください。
・回収後は一度解散し、再度会場内の指定した場所にお集まり頂きチケットをお渡し致します。落札者様は座席はお選び頂けません
座席確認のため、チケットお渡しするまでお時間を頂戴しております。予めご了承ください。
必ず公演に間に合うようにチケットをお渡ししますが、待ち時間や座席に関するクレーム等は一切受けられません。
チケットを受け取り次第その場ですぐに受け取り通知をお願いします。
・公演中の盗撮録音マナー違反はお辞め下さい。
購入後、ご年齢（購入者様・同行者様共に）と当日繋がる電話番号（購入者様のみ）をお伺いします。ご了承ください。
・感染症によるメンバーの未出演や買い手様の体調不良、交通機関の遅延による返金は一切致しません。ご了承ください。
・QRコードのエラー、検温、本人確認等、公演中止以外での入場出来なかった場合、その他いかなるトラブルには責任を負いかねます。その場合でも受け取り連絡をして頂きます。
※以上内容をご理解頂ける方のみ購入をお願いいたします。ご不明点はお気軽にご連絡ください。",True,2026-06
r5d1rixso8,1781898688760,are-you-red-y,2026-06-27,17:00,京セラドーム大阪,electronic,female,同行,りりり。,5.0,同行,2026-06-19 19:51:28,2026-06-20 09:27:28,,listing,1,25000,"2名義中1番手
すり替えなし/初期当選/下3桁提示可/有効期限内／山田名義
2連を2名義所持しているため、そのうち当方が選んだ方(2枚中良席)のチケットをお渡しします。
公演当日、会場付近で待ち合わせをし同時入場していただきます。
詳しい待ち合わせ時間、場所などはご入金後にメッセージ内でお知らせします。
遅刻は待たず入場させていただきますが、その際も受け取り連絡はしていただきますのでご了承ください。
お渡し後のサイチェンなどはご自由にお使いください。
発券協力のため入場時に身分証をお預かりする可能性がございますので、必ずご携帯ください。
ランダムエラー、遅刻などいかなる場合も公演中止以外の理由で返金致しません。",True,2026-06
