ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,seller_name,seller_rating,order_num,ticket_tags,year_month
t5isbf2vbz,1774354869886,wendy-and-peter-pan,2026-06-26,13:00,[東京都] THEATER MILANO-Za,listing,60000,1,事前.当日手渡し又は発送,paper,female,"6.0~即8.0
FC先行/該当名義/有効期限内/下三桁提示可/すり替えなし
事前.当日手渡し又は発送での受け渡しとなります。(ご希望の受け渡し方法ありましたらコメントお願いいたします)
ご購入後のキャンセルはできかねます。
また、公演中止以外の如何なる理由（本人確認での入場不可、交通機関の遅延、体調不良等）でのキャンセルや返金は致しかねます。座席に関するクレーム等は一切受け付けません。
公演中止の際は手数料を差し引いた額を返金します。
トラブル防止のため購入は成人済み日本人女性以外及び代理購入のご購入は遠慮ください。
こちらの注意事項全て確認、ご理解いただけた方のみご購入お願いいたします。",2026-03-24 12:21:09,2026-06-20 16:01:09,,True,ぱんちゃ,5.0,,,2026-03
sold_1774276912030,1774276912030,wendy-and-peter-pan,2026-06-27,13:00,[東京都] THEATER MILANO-Za,sold,30000,1,購入後2〜3日以内に郵送,paper,female,"FC枠チケット

ご購入後のキャンセルはできかねます。
また、公演中止以外の如何なる理由（本人確認での入場不可、交通機関の遅延、体調不良等）でのキャンセルや返金...",2026-03-23 14:41:52,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
rfezil5psc,1774795967600,wendy-and-peter-pan,2026-07-13,15:00,[大阪府] フェニーチェ堺 大ホール,listing,55000,1,入金後24時間発送予定,paper,female,該当名義/有効期限内/,2026-03-29 14:52:47,2026-06-20 16:01:09,,True,り,5.0,,,2026-03
sold_1774258044507,1774258044507,wendy-and-peter-pan,2026-07-13,15:00,[大阪府] フェニーチェ堺 大ホール,sold,60000,1,手元に届き次第郵送,paper,female,FC該当名義当選になります。席は未定の為到着次第発送いたします。またすり替えなし、有効期限内、下3桁提示可能です。ご質問等ありましたらメッセージいただければと思...,2026-03-23 09:27:24,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
sold_1774315960621,1774315960621,wendy-and-peter-pan,2026-07-13,15:00,[大阪府] フェニーチェ堺 大ホール,sold,22000,1,公演日7日前までに郵送,paper,female,"これ以上のお値下げ考えておりません。

FC該当名義当選になります。席は未定の為到着次第発送いたします。またすり替えなし、下3桁提示可能です。ご質問等ありました...",2026-03-24 01:32:40,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
sold_1774318373477,1774318373477,wendy-and-peter-pan,2026-07-14,13:00,[大阪府] フェニーチェ堺 大ホール,sold,0,1,当日手渡し,paper,female,初期当選/該当名義/有効期限内,2026-03-24 02:12:53,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
sold_1774272448132,1774272448132,wendy-and-peter-pan,2026-07-14,13:00,[大阪府] フェニーチェ堺 大ホール,sold,65000,1,公演日7日前までに郵送,paper,female,該当名義/初期当選/有効期限内/当選歴無し,2026-03-23 13:27:28,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
lvbt0r49gw,1774535350627,wendy-and-peter-pan,2026-07-15,13:00,[大阪府] フェニーチェ堺 大ホール,listing,80000,1,公演日4日前までに郵送,paper,none,"SN先行/3枚中2番手/すり替えなし/下3桁提示可/該当名義/変更ボタンあり
単番×1、連番×1所持しております。
公演中止以外の返金対応はできかねますので、ご承知おきください。",2026-03-26 14:29:10,2026-06-20 16:01:09,,True,な,5.0,,,2026-03
sold_1774276999814,1774276999814,wendy-and-peter-pan,2026-07-15,13:00,[大阪府] フェニーチェ堺 大ホール,sold,45000,1,公演7日前までに郵送,paper,female,"3名義中3番手/該当名義/下3桁提示可/期限内/すり替えなし/変更ボタンあり
⭐️郵送希望の方はコメントください⭐️

・単番×3名義中3番手でのお譲りです。...",2026-03-23 14:43:19,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
sold_1774394540423,1774394540423,wendy-and-peter-pan,2026-07-15,18:00,[大阪府] フェニーチェ堺 大ホール,sold,50000,1,公演日7日前までに郵送,paper,female,"有効期限内、該当名義での当選。

",2026-03-24 23:22:20,2026-06-20 16:01:09,2026-06-20 16:01:09,False,,,,,2026-03
y67mn3jw8y,1774277310171,wendy-and-peter-pan,2026-07-17,13:00,[大阪府] フェニーチェ堺 大ホール,listing,0,1,公演日7日前までに郵送,paper,female,"該当名義/下3桁提示可/重複なし
本人確認、ランダムエラー、メンバー不在、体調不良等如何なる場合でも返金致しかねます。
公演中止の場合のみサイトルールに従い手数料を差し引いた金額を返金いたします。
トラブル防止のため日本人女性のみご購入お願い致します。
代理購入不可。
座席等のクレームは受け付けておりません。
チケット到着後、速やかに受取連絡をお願いいたします。",2026-03-23 14:48:30,2026-06-20 16:01:09,,True,れ,5.0,,ランダム記載あり,2026-03
nf7ttzn3ce,1774489027385,wendy-and-peter-pan,2026-07-19,15:00,[大阪府] フェニーチェ堺 大ホール,listing,85000,1,入金確認後4日以内に発送,paper,male,SN FC枠 通路横3席以内 同行者女性名義,2026-03-26 01:37:07,2026-06-20 16:01:09,,True,らっこ,5.0,,同行記載あり,2026-03
