ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
6izikydl1r,1775318775024,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,electronic,female,同時入場,か,5.0,,番手,2026-04-04 16:06:15,2026-06-21 02:01:07,,deleted,2,65000,"2名義中1番手/2連/下3桁お伝え可能/重複すり替えなし
前日までに集合時間、集合場所を連絡ボードにてお知らせいたします。
入場後、発券した２名義の中から先にチケットをお選びください。
お渡し後は、速やかに受け取り評価をお願いいたします。
スムーズなお取引を行うため、電話番号をお伺いする場合がございます。ご了承ください。
集合時間に大幅に遅刻した場合お待ちすることはできません。その場合も受け取り評価はしていただきますのでご了承ください。
座席未定の為、クレームは受け付けません。
遅刻、本確、ランダムエラー、体調不良等公演中止以外での返金はいたしません。",True,2026-04
joc3lm7dq7,1777473403712,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,electronic,female,公演日前日までにQRコード共有,Sさん,5.0,,QR,2026-04-29 14:36:43,2026-06-21 07:01:02,,listing,2,70000,"QR毎/すり替えなし/下3桁提示可/同行者登録可/初期当選/着ブロ指定なし/発送物戻り無し
公演日前日にログイン情報を共有いたします
当日は入場後速やかにログアウト、受け取り報告を必ず行ってください。
ランダムエラー、座席のクレームなどの公演中止以外の理由での返金は不可能です。
公演中止のみ手数料送料引いた額を返金します。
日本語の通じる方のみご購入をお願いします。",True,2026-04
sold_1777178539855,1777178539855,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,pickup_number,female,入金確認後、払込票番号提示,,,,,2026-04-26 04:42:19,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,1,3000,"一般 立見指定 1名券です。
払込票番号のお譲りです。
4/27 23:30までに別途、セブンイレブンにて定価＋手数料をお支払い、発券をお願いいたします。

発...",False,2026-04
sold_1777374841818,1777374841818,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,pickup_number,female,入金後 発券番号共有,,,,,2026-04-28 11:14:01,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,1,3000,"一般立見指定1名券となります。
別途、コンビニで定価+手数料支払いをお願いいたします。
支払期限：2026/4/29(水・祝) 23:30までとなっております。",False,2026-04
sold_1777182489053,1777182489053,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,pickup_number,female,入金確認後、払込票番号提示,,,,,2026-04-26 05:48:09,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,1,3000,"一般 立見指定 1名券です。
払込票番号のお譲りです。
4/27 23:30までに別途、セブンイレブンにて定価＋手数料をお支払い、発券をお願いいたします。

発...",False,2026-04
sold_1777178105917,1777178105917,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,pickup_number,female,入金確認後、払込票番号提示,,,,,2026-04-26 04:35:05,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,1,3000,"一般 立見指定 1名券です。
払込票番号のお譲りです。
4/27 23:30までに別途、セブンイレブンにて定価＋手数料をお支払い、発券をお願いいたします。

発...",False,2026-04
sold_1775016381323,1775016381323,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,electronic,female,ＱＲ毎,,,,,2026-04-01 04:06:21,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,2,53000,"QR毎/初期当選/重複すり替えなし/下3桁提示可能

公演日前日夜12時までに、チケット表示に必要な情報をお伝えしQRごとのお譲りですので、ご自身の端末にてQR...",False,2026-04
sold_1776560556845,1776560556845,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,electronic,female,同行,,,,,2026-04-19 01:02:36,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,1,72000,"同行/重複なし/本人確認対応可/下3桁提示可

・当日までに購入者様ご本人に同行者登録を行って頂きます。
・当方が代表者として入場しますので本人確認があった場合...",False,2026-04
sold_1776349595948,1776349595948,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,electronic,female,QRごと,,,,,2026-04-16 14:26:35,2026-06-21 07:01:02,2026-06-20 16:01:09,sold,2,48000,"QR毎/下3桁提示可能/変更ボタンあり/同行者登録可/有効期限内/サイチェン可

ご自身でQRを表示させて入場していただくお取引です。
質問がある方はご購入前に...",False,2026-04
lmb9vs2w2q,1775548737366,timelesz-live-tour-2026-momentum,2026-06-30,18:00,横浜アリーナ,electronic,female,2番手,m,5.0,,番手,2026-04-07 07:58:57,2026-06-21 02:01:07,,deleted,2,55000,"2名義中2番手 初期当選
下3桁提示/同行者登録可能
当日開場時間30分前に会場付近で待ち合わせし、同時入場していただきます。
いかなる場合も遅刻厳禁、必ず集合時間厳守でお願い致します。
遅刻の際は待たずに先に入場致しますが、その際もサイト上の受取評価は必ずして頂きます。
チケット発券後、全てのチケットをこちらで回収してから一度解散し、その後再度会場内で集合してからのチケットお渡しとなるためかなりのお時間頂くことをご了承ください。
座席はお選びいただくことはできません。
また、チケットの催促はしないで下さい。
座席未定のため、座席に関するクレームも一切お受け致しません。
開演までには必ずお渡しします。会場内で一旦解散後、決まり次第ご連絡いたします。
その間自由にしていただいて構いませんが、連絡は取れるようにお願いいたします。
お伝え頂いたお電話番号に連絡して集合し、その場でサイト上の受取評価と同時にチケットをお渡し致します。
入場の際携帯端末をお借りしてのQRコード表示、その際の身分証の預りにご協力いただく可能性があります。ご了承ください。
円滑な連絡のため、お名前と当日使えるお電話番号を後ほどお伝えください。
立ち見、ランダムエラー、本人確認による入場不可、出演者変更、お取引決定後の買い手様都合のキャンセル、体調不良(濃厚接触者含む)等公演中止以外のいかなる場合でも返金できかねますのでご了承ください。その際も受取評価はして頂きます。",True,2026-04
