ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,seller_name,seller_rating,order_num,year_month
sold_1779888927169,1779888927169,orebushi,2026-06-20,17:30,[東京都] 東京建物 Brillia HALL,sold,14000,1,当日手渡しまたは郵送,paper,female,"主催者による公演中止以外は返金対応致しかねます。
公演中止以外のキャンセルはいかなる理由でも受け付けませんのでご了承ください。
",2026-05-27 13:35:27,2026-06-20 04:50:53,2026-06-20 04:50:53,False,,,,2026-05
uqzxdfl82a,1778917623237,orebushi,2026-06-20,17:30,[東京都] 東京建物 Brillia HALL,listing,16000,1,郵送または手渡し,paper,female,"通路横・受け渡し方法相談可
公演中止の場合のみチケットを返送の上、送料・手数料を差し引いた金額を返金いたします。",2026-05-16 07:47:03,2026-06-20 04:50:53,,True,🦋,5.0,,2026-05
sold_1779888774680,1779888774680,orebushi,2026-06-20,17:30,[東京都] 東京建物 Brillia HALL,sold,13000,1,当日手渡しまたは郵送,paper,female,"公演中止以外のキャンセルはいかなる理由でも受け付けませんのでご了承ください。
",2026-05-27 13:32:54,2026-06-20 04:50:53,2026-06-20 04:50:53,False,,,,2026-05
z66q24ealt,1779878229761,orebushi,2026-06-24,12:00,[東京都] 東京建物 Brillia HALL,listing,0,1,公演日7日前までに郵送 もしくは当日手渡し,paper,female,公演中止の場合のみ返金いたします。,2026-05-27 10:37:09,2026-06-20 04:50:53,,True,ちー,5.0,,2026-05
sold_1779849282323,1779849282323,orebushi,2026-06-24,17:30,[東京都] 東京建物 Brillia HALL,sold,200000,1,当日手渡し,paper,female,"購入希望の方は支払い方法明記の上コメントお願い致します。
公演中止の際はチケットを返送して頂いた場合のみ、送料・手数料を差し引いた金額を返金致します。主催者によ...",2026-05-27 02:34:42,2026-06-20 04:50:53,2026-06-20 04:50:53,False,,,,2026-05
vvezgaiw3l,1779948023577,orebushi,2026-06-26,17:30,[東京都] 東京建物 Brillia HALL,listing,15300,1,入金後24時間以内にMOALA Ticketアプリにて分配,electronic,female,"MOALA Ticket（電子チケット）にて分配いたしますので、当日はお一人でご入場いただけます。
主催者による公演中止の場合は、手数料を引いた金額を返金せさていただきます。
上記以外のいかなる場合におきましては返金は対応致しかねますので、ご了承ください。",2026-05-28 06:00:23,2026-06-20 04:50:53,,True,ky,5.0,QR同行,2026-05
o9l4nmo9q2,1779861247126,orebushi,2026-06-26,17:30,[東京都] 東京建物 Brillia HALL,listing,15000,1,公演日7日前までにQRコード共有,electronic,female,デジチケのため公演7日前に分配,2026-05-27 05:54:07,2026-06-20 04:50:53,,True,るる,5.0,QR,2026-05
ioln78adtr,1779976276527,orebushi,2026-06-26,17:30,[東京都] 東京建物 Brillia HALL,listing,150000,1,郵送,paper,female,"公演中止の際は、チケットを返送して頂けた場合のみ、送料・手数料を差し引いた金額を返金致します。主催者による公演中止以外は返金対応致しかねます。
🌟ご購入希望の方はプラベ出品いたしますのでご連絡ください🌟",2026-05-28 13:51:16,2026-06-20 04:50:53,,True,なな,5.0,,2026-05
9doopthxd2,1778727411268,orebushi,2026-06-26,17:30,[東京都] 東京建物 Brillia HALL,listing,0,1,公演日7日前までに郵送,paper,female,"FC先行【松田元太該当名義】 【下3桁提示可能】【すり替えなし】
購入後の返金対応は如何なる場合も対応できかねます。
公演中止のみ返金対応。
公演日の1週間前発送予定",2026-05-14 02:56:51,2026-06-20 04:50:53,,True,Yumami,5.0,,2026-05
i0n2exyjw2,1780271184439,orebushi,2026-06-27,12:00,[東京都] 東京建物 Brillia HALL,listing,0,1,都内手渡しもしくは郵送,paper,female,郵送の場合は送料のご負担をお願いいたします,2026-05-31 23:46:24,2026-06-20 04:50:53,,True,h,5.0,,2026-05
