event_id,artist_id,base_price,lottery_date,seat_rule,first_day,last_day,total_stages
are-you-red-y,hey-say-jump,,,,,,
orebushi,travis-japan,,,,,,
ae-group-live-tour-runway,ae-group,,,,,,
akechico,west-dot,,,,,,
acees-arena-tour-v,acees,,,,,,
roll-cake-time,west-dot,,,,,,
naniwa-danshi-nd5,naniwa-danshi,,,,,,
yakusoku-no-hate,snow-man,,,,,,
timelesz-live-tour-2026-momentum,timelesz,,,,,,
ryosuke-yamada-asia-tour-2026-red-y,hey-say-jump,,,,,,
uma-stage-2026,west-dot,,,,,,
summer-sonic,travis-japan,,,,,,
osomatsusan-movie-greeting,ae-group,,,,,,
summer-sonic-osaka,travis-japan,,,,,,
wendy-and-peter-pan,snow-man,,,,,,
summer-sonic-osaka,west-dot,,,,,,
west-live-tour-yuitsumuni,west-dot,,,,,,
joseph-amazing-technicolor-dreamcoat,hey-say-jump,,,,,,
hello-30s,west-dot,,,,,,
key-to-lit-arena-tour-2026-neo-classics,key-to-lit,,,,,,
